,id_player,player,id_team,team,id_position,position,fixture,id_opponent,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent
31,328,Ogbene,12,Luton,4,FWD,88,16,8,False,2023-10-21T14:00:00Z,2,2,9,90,1,0,0,2,0,0,0,0,0,0,2,41,46.4,23.5,30.0,10.0,1,0.38,0.40,0.78,2.97,49,-34,11721,723,757,Nott'm Forest
32,331,Pepple,12,Luton,4,FWD,88,16,0,False,2023-10-21T14:00:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-534,8243,0,534,Nott'm Forest
33,336,Taylor,12,Luton,4,FWD,88,16,0,False,2023-10-21T14:00:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-621,10835,0,621,Nott'm Forest
34,340,Woodrow,12,Luton,4,FWD,88,16,1,False,2023-10-21T14:00:00Z,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.6,5.0,0.9,0,0.06,0.00,0.06,0.00,44,5510,100260,13555,8045,Nott'm Forest
35,631,Brown,12,Luton,4,FWD,88,16,2,False,2023-10-21T14:00:00Z,2,2,9,71,0,0,0,1,0,0,0,0,0,0,0,1,2.2,2.3,27.0,3.2,1,0.38,0.01,0.39,2.87,49,-589,15587,816,1405,Nott'm Forest
36,343,J.Alvarez,13,Man City,4,FWD,59,16,1,True,2023-09-23T14:00:00Z,2,0,6,56,0,0,0,0,0,0,0,0,0,0,0,4,9.0,5.1,23.0,3.7,1,0.55,0.02,0.57,0.25,69,1330151,2985141,1350654,20503,Nott'm Forest
37,355,Haaland,13,Man City,4,FWD,59,16,6,True,2023-09-23T14:00:00Z,2,0,6,90,1,0,1,0,0,0,0,0,0,0,0,24,32.4,3.3,23.0,5.9,1,0.69,0.01,0.70,1.03,141,39924,9176859,50069,10145,Nott'm Forest
38,390,Martial,14,Man Utd,4,FWD,28,16,1,True,2023-08-26T14:00:00Z,3,2,3,59,0,0,0,2,0,0,0,0,0,0,0,3,1.4,14.5,11.0,2.7,1,0.04,0.02,0.06,1.00,65,145,25571,3185,3040,Nott'm Forest
39,399,Shoretire,14,Man Utd,4,FWD,28,16,0,True,2023-08-26T14:00:00Z,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1490,13616,499,1989,Nott'm Forest
40,617,Højlund,14,Man Utd,4,FWD,28,16,0,True,2023-08-26T14:00:00Z,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,70,-11014,71469,6421,17435,Nott'm Forest
41,477,Brewster,17,Sheffield Utd,4,FWD,17,16,0,False,2023-08-18T18:45:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1655,5729,158,1813,Nott'm Forest
42,483,Jebbison,17,Sheffield Utd,4,FWD,17,16,0,False,2023-08-18T18:45:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-393,1682,39,432,Nott'm Forest
43,485,McBurnie,17,Sheffield Utd,4,FWD,17,16,0,False,2023-08-18T18:45:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-1074,4078,155,1229,Nott'm Forest
44,486,Ndiaye,17,Sheffield Utd,4,FWD,17,16,0,False,2023-08-18T18:45:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-1240,1827,0,1240,Nott'm Forest
45,490,Osula,17,Sheffield Utd,4,FWD,17,16,2,False,2023-08-18T18:45:00Z,2,1,2,73,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.1,13.0,1.1,1,0.05,0.05,0.10,1.25,45,5078,152039,15466,10388,Nott'm Forest
46,593,T.Bénie,17,Sheffield Utd,4,FWD,17,16,2,False,2023-08-18T18:45:00Z,2,1,2,81,0,0,0,1,0,0,0,0,0,0,0,-2,3.6,1.1,19.0,2.4,1,0.27,0.03,0.30,1.25,55,643,7805,1756,1113,Nott'm Forest
47,654,Marsh,17,Sheffield Utd,4,FWD,17,16,0,False,2023-08-18T18:45:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,985,3060,1206,221,Nott'm Forest
48,656,Hackford,17,Sheffield Utd,4,FWD,17,16,1,False,2023-08-18T18:45:00Z,2,1,2,8,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.12,45,2035,5563,2574,539,Nott'm Forest
49,2,Cédric,1,Arsenal,2,DEF,2,16,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,29866,0,0,Nott'm Forest
50,5,Gabriel,1,Arsenal,2,DEF,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.02,50,0,2743150,0,0,Nott'm Forest
